Image,Frequency_Preservation,Frequency_Error
000362,1.0,0.3752380662741545
000363,1.0,0.11285669363934937
000364,1.0,0.11193229081472182
000365,0.7682959583236697,0.23170404167633032
000366,0.8521358084169132,0.1478641915830869
000367,0.8265031814592912,0.17349681854070875
000368,1.0,1.1708906488979993
000369,1.0,0.33731171011996586
000370,1.0,0.27911696981400824
000371,1.0,0.4130682233454565
000372,1.0,4.209057787223507
000373,0.770580154593145,0.229419845406855
000374,0.8167993608183642,0.18320063918163576
000375,0.8892213856534757,0.11077861434652428
000376,1.0,0.4674111076722569
000377,0.9499672653518695,0.05003273464813048
000378,0.908257432980012,0.09174256701998797
000379,1.0,0.02792628020396654
000380,0.9279588506942053,0.0720411493057948
000381,1.0,0.7717881934148775
000382,1.0,0.3582356263163103
000383,1.0,1.0968310723059862
000384,1.0,0.8552212864324262
000385,0.6389824085872821,0.36101759141271794
000386,0.7070394302584002,0.2929605697415998
000387,0.666192452287528,0.333807547712472
000388,1.0,1.477399441088468
000389,1.0,0.5567884160033749
000390,0.733424188497744,0.26657581150225595
000391,1.0,0.06711713407971368
000392,1.0,0.9422875659139396
000393,1.0,8.026940689792118
000394,1.0,9.552534118009868
000395,1.0,26.284062757240243
000396,0.966951647303109,0.033048352696891
000397,1.0,1.8084233384764843
000398,1.0,0.45443509873664995
000399,1.0,0.006842406971675097
000400,1.0,8.52783134908925
000401,1.0,10.934782847103227
000402,1.0,4.451904104188655
000403,1.0,11.173193178538591
000404,0.8651804832061587,0.13481951679384127
000405,0.4114422071773405,0.5885577928226595
000406,0.3998636049581673,0.6001363950418327
000407,0.3982961576425556,0.6017038423574443
000408,1.0,1.0637034659820281
000409,1.0,28.758951665911596
000410,1.0,25.912255779483292
000411,1.0,23.27908486099692
000412,1.0,6.253846961216997
000413,1.0,0.2846864483969207
000414,1.0,0.12310150725380874
000415,1.0,0.14128992908943871
000416,1.0,0.5944551916230871
000417,1.0,0.783376824717694
000418,1.0,1.1536946931792698
000419,1.0,1.2292574345700509
000420,1.0,5.691724453715665
000421,1.0,9.095249350541469
000422,1.0,10.835932751061165
000423,1.0,10.205851375247008
000424,1.0,2.7153838012330325
000425,0.9220266304504174,0.07797336954958253
000426,1.0,0.42441809678603776
000427,0.9951853343442069,0.004814665655793098
000428,1.0,0.17017116830014326
000429,0.9732543733938936,0.02674562660610638
000430,1.0,0.06907176735437022
000431,0.9903603088216392,0.009639691178360794
000432,1.0,0.2555522342727738
000433,1.0,0.5156089016754485
000434,1.0,0.3585462394622002
000435,1.0,0.3492980970984933
000436,1.0,0.16040516365724594
000437,1.0,2.014817509758476
000438,1.0,1.8645407719300606
000439,1.0,1.8851064801249078
000440,1.0,2.7510739833780384
000441,1.0,2.382794166410069
000442,1.0,6.086557165957399
000443,1.0,4.810264115494095
000444,1.0,0.2846231760541298
000445,1.0,2.2989484103400986
000446,1.0,3.5867375363041387
000447,1.0,2.6539278185516926
000448,1.0,0.2423807730862326
000449,1.0,2.0487106281928393
000450,1.0,2.5475065564155033
000451,1.0,2.374280292907609
000452,1.0,4.1742512358573585
000453,1.0,0.9299889433440849
000454,1.0,1.0214558811142935
000455,1.0,0.9034971726009048
000456,1.0,0.7836527807001578
000457,0.8589502490043341,0.14104975099566588
000458,0.8053049267885285,0.19469507321147156
000459,0.7824543862064589,0.2175456137935411
000460,1.0,1.1796772994117526
000461,1.0,154.0196310009705
000462,1.0,161.8494516852642
000463,1.0,110.98919862814734
000464,1.0,0.14827993019996305
000465,1.0,1.2841184067420994
000466,1.0,0.8745881854859417
000467,1.0,1.2001973799645365
000468,0.8375713711492991,0.16242862885070083
000469,0.850179616271853,0.149820383728147
000470,0.7724695011199505,0.2275304988800495
000471,0.764683392851862,0.23531660714813799
000472,1.0,0.5992780062249625
000473,1.0,3.597656195070041
000474,1.0,6.465313360115913
000475,1.0,3.2877486158545466
000476,0.8659820153175954,0.13401798468240458
000477,1.0,0.7516789623380185
000478,1.0,0.7470541321020643
000479,1.0,0.7310737142125794
000480,0.8127721141462301,0.18722788585376993
000481,1.0,5.310133932513712
000482,1.0,3.3715236199957905
000483,1.0,6.663820330091681
000484,1.0,1.1011231820721317
000485,1.0,46.98753533862736
000486,1.0,32.629403007767166
000487,1.0,36.62910833496587
000488,0.7718930811051409,0.22810691889485918
000489,1.0,0.23470229998153766
000490,1.0,0.3139934975158548
000491,1.0,0.19678102374013848
000492,0.7375108707003144,0.2624891292996856
000493,1.0,0.4239267501502235
000494,1.0,0.16820233643013646
000495,1.0,0.10641695445475796
000496,0.7643297582856546,0.23567024171434536
000497,0.8245248496437682,0.1754751503562318
000498,0.8093995969642163,0.19060040303578374
000499,0.8759331119960312,0.12406688800396884
000500,1.0,1.3881931342511868
000501,1.0,2.0849173764578905
000502,1.0,1.6639035691938315
000503,1.0,1.475608390355347
000504,1.0,0.21821710669221742
000505,0.8172454192350908,0.1827545807649092
000506,0.7586859304095335,0.24131406959046647
000507,0.763729562426429,0.23627043757357102
000508,1.0,9.789206103064283
000509,0.7378539869257887,0.2621460130742112
000510,0.7542455223752598,0.24575447762474023
000511,0.7209035346904021,0.27909646530959786
000512,1.0,3.5210427022780024
000513,0.6709798540843843,0.3290201459156156
000514,0.673090656143433,0.326909343856567
000515,0.7280293454546345,0.2719706545453655
000516,1.0,1.63296856916451
000517,1.0,0.6878975854810532
000518,1.0,0.7740139000697546
000519,1.0,0.6426360959025766
000520,1.0,0.2275426290723115
000521,1.0,11.778870144252918
000522,1.0,7.158407379082669
000523,1.0,10.208518186002406
000524,0.8553228643133051,0.14467713568669494
000525,1.0,4.719959437021519
000526,1.0,4.912499525233751
000527,1.0,5.275298497023269
000528,1.0,0.6841027943465219
000529,1.0,0.09996952418590561
000530,1.0,0.34164372640996443
000531,1.0,0.026581146914047758
000532,1.0,0.011925408697262057
000533,1.0,0.3325661050154183
000534,0.9319373694410954,0.06806263055890464
000535,0.9739963372139414,0.026003662786058607
000536,1.0,5.4089875075728004
000537,1.0,16.96694876530073
000538,1.0,18.023544448963577
000539,1.0,13.847396928346956
000540,1.0,3.6786596910457416
000541,1.0,10.41000039889324
000542,1.0,12.446008828567644
000543,1.0,13.233489495844946
000544,1.0,8.236431354240345
000545,1.0,0.9625564051861379
000546,1.0,1.2877442806906634
000547,1.0,0.41585479558042127
000548,1.0,5.305906083343889
000549,0.8048151267467163,0.1951848732532837
000550,0.9325499877147913,0.06745001228520875
000551,0.8305284934095715,0.1694715065904285
000552,1.0,0.27124551367299227
000553,1.0,3.05839324652547
000554,1.0,3.0544951434637113
000555,1.0,3.216148801001799
000556,1.0,3.2547766023680214
000557,1.0,58.56346408738983
000558,1.0,13.965192093390224
000559,1.0,70.15892575892593
000560,1.0,0.13728147011407285
000561,1.0,0.22306110449867397
000562,1.0,0.2827765470185573
000563,1.0,0.04233810165275804
