Image,PSNR,SSIM,MAE,MSE,Edge_Error,Edge_Preservation
000063,22.870293359818103,0.34838902233638847,0.0560312494635582,0.005163814872503281,0.12984728813171387,0.8701527118682861
000064,21.94034963926789,0.41823410513409226,0.057957228273153305,0.006396833341568708,0.10610966384410858,0.8938903212547302
000065,23.48146935991746,0.5429819760586485,0.05087530240416527,0.004485935904085636,0.08620408922433853,0.9137958884239197
000066,23.830899068191012,0.569232305856738,0.048397623002529144,0.004139139782637358,0.08028517663478851,0.9197148084640503
000067,23.46096548938857,0.6108592445064465,0.050359852612018585,0.004507164936512709,0.07873712480068207,0.9212628602981567
000068,23.030739749176963,0.49061964808313746,0.052400268614292145,0.004976523108780384,0.09209813922643661,0.9079018831253052
000069,29.67824086051154,0.8465479149431204,0.02081550471484661,0.0010769013315439224,0.044015418738126755,0.9559845924377441
000070,29.252804014558045,0.8472012289571613,0.02138235792517662,0.0011877351207658648,0.037075139582157135,0.9629248380661011
000071,29.783770444916836,0.8580003179405611,0.02008446678519249,0.001051048981025815,0.0387784019112587,0.9612215757369995
000072,23.32518037841232,0.7315708331632806,0.04700435325503349,0.00465031061321497,0.07249773293733597,0.9275022745132446
000073,22.386060478008837,0.6389562936809379,0.05576742812991142,0.005772898904979229,0.08466227352619171,0.9153377413749695
000074,22.190207633424617,0.6494056559184291,0.057097285985946655,0.0060391975566744804,0.08487067371606827,0.9151293039321899
000075,20.956817933654026,0.5966700263342173,0.06560207158327103,0.008022656664252281,0.09538041800260544,0.904619574546814
000076,25.868135211935357,0.6478235686035367,0.034603316336870193,0.002589324489235878,0.06576074659824371,0.9342392683029175
000077,29.496410685369646,0.7184155552469846,0.023568786680698395,0.0011229461524635553,0.04642252251505852,0.95357745885849
000078,27.104026795615642,0.6211288025873843,0.03328797221183777,0.0019480375340208411,0.06974621117115021,0.930253803730011
000079,29.09126295806583,0.6855464216890894,0.02518080174922943,0.0012327462900429964,0.05560169368982315,0.9443982839584351
000080,20.91217113746714,0.32688410687156605,0.06903307139873505,0.008105557411909103,0.12503062188625336,0.8749693632125854
000081,24.7012773228639,0.7059945675549134,0.03632139787077904,0.003387445118278265,0.05253451317548752,0.9474654793739319
000082,24.436760479347154,0.6922385490641888,0.037330225110054016,0.0036001778207719326,0.05445193126797676,0.9455480575561523
000083,24.567138472140655,0.6936201251202025,0.03643989935517311,0.003493704367429018,0.05405433103442192,0.945945680141449
000084,21.640101952559988,0.5924278037445087,0.058567553758621216,0.00685472134500742,0.07150721549987793,0.9284927845001221
000085,18.348913532525675,0.48701713450211426,0.09083826094865799,0.0146254301071167,0.13731926679611206,0.8626807332038879
000086,18.232510980856727,0.5869805128513892,0.08936423063278198,0.015022731386125088,0.11770759522914886,0.8822923898696899
000087,18.679490117437627,0.569291978391217,0.0850549191236496,0.01355348527431488,0.1228911355137825,0.8771088719367981
000088,21.551161364338512,0.3792608946612873,0.05923040583729744,0.006996548734605312,0.1812382936477661,0.8187617063522339
000089,22.678346637337054,0.5254301284656369,0.056137170642614365,0.005397160537540913,0.11193477362394333,0.8880652189254761
000090,24.19137355066376,0.5970086770056717,0.04699886217713356,0.003809453221037984,0.09319007396697998,0.90680992603302
000091,23.77783876753869,0.5739021198984314,0.04935913532972336,0.004190020263195038,0.11552637070417404,0.8844736218452454
000092,23.778370205059037,0.6250331896989281,0.04859281703829765,0.004189507570117712,0.08636678755283356,0.9136332273483276
000093,30.65540218884804,0.7373703652162222,0.019804010167717934,0.0008599234279245138,0.04520367830991745,0.954796314239502
000094,29.196576512619224,0.7170416579714809,0.023218674585223198,0.0012032125378027558,0.050041355192661285,0.9499586224555969
000095,30.90455046998235,0.748986607016691,0.019174126908183098,0.0008119792910292745,0.034369561821222305,0.9656304121017456
000096,19.280920980096845,0.6486653143155253,0.07938645035028458,0.011800703592598438,0.09726091474294662,0.9027391076087952
000097,25.00835990046231,0.6431520211546583,0.04166974127292633,0.0031561963260173798,0.0866909772157669,0.9133090376853943
000098,25.12382574142609,0.6300896149554532,0.04134511947631836,0.003073388244956732,0.09239877760410309,0.9076012372970581
000099,24.84288242992268,0.6372618816560011,0.042423076927661896,0.0032787760719656944,0.07697644829750061,0.9230235815048218
000100,25.084146868520534,0.5795086681334418,0.03718964755535126,0.0031015966087579727,0.06516075879335403,0.9348392486572266
000101,23.93111090545135,0.3892464272872315,0.047976795583963394,0.00404472416266799,0.1342627853155136,0.8657371997833252
000102,22.63582750912164,0.3255710593476654,0.056234102696180344,0.0054502603597939014,0.12940138578414917,0.8705986142158508
000103,23.10118399540675,0.3463894352638752,0.05302801728248596,0.004896453116089106,0.13554900884628296,0.864450991153717
000104,20.991218378039008,0.4550621820166692,0.06616874039173126,0.007959360256791115,0.11748015880584717,0.8825198411941528
000105,26.979790556015395,0.8040731203332585,0.02758624032139778,0.002004568697884679,0.06886792182922363,0.9311320781707764
000106,29.169697972045906,0.8371894057155661,0.022181345149874687,0.001210682326927781,0.05408314988017082,0.9459168314933777
000107,27.219950367794702,0.8133815365912411,0.0266081765294075,0.0018967275973409414,0.06430627405643463,0.9356937408447266
000108,18.205398492578343,0.6292128717628279,0.0838429182767868,0.015116809867322445,0.10316655039787292,0.8968334197998047
000109,21.421591617334084,0.7535020308289007,0.05147825554013252,0.007208432536572218,0.06405335664749146,0.9359466433525085
000110,22.846396131515405,0.7798172413035966,0.041745513677597046,0.005192307289689779,0.05172399431467056,0.9482759833335876
000111,22.85371376131274,0.7698558028902691,0.041754350066185,0.005183565896004438,0.0481276661157608,0.9518723487854004
000112,23.72107064797649,0.65946130293715,0.04601273685693741,0.0042451489716768265,0.07126441597938538,0.928735613822937
000113,22.939072794142742,0.37389933584261886,0.05450114235281944,0.005082679446786642,0.14019353687763214,0.859806478023529
000114,22.07269101239126,0.3454769049071695,0.06000608205795288,0.006204844452440739,0.13516581058502197,0.864834189414978
000115,21.393150828599424,0.2255118491744077,0.06809455901384354,0.007255793549120426,0.14614951610565186,0.8538504838943481
000116,22.838490104788708,0.586666494905191,0.055081434547901154,0.005201768130064011,0.08500619977712631,0.9149938225746155
000117,24.01228957182652,0.649158723560888,0.04710410535335541,0.0039698220789432526,0.08471529930830002,0.9152846932411194
000118,24.369935483682553,0.6641515935723916,0.04508330300450325,0.003656002227216959,0.07605186104774475,0.9239481687545776
000119,23.47541548714456,0.6112335849247436,0.05020613223314285,0.0044921934604644775,0.0842302218079567,0.9157697558403015
000120,22.102776574714532,0.4403186076507426,0.058133047074079514,0.006162009201943874,0.10693933069705963,0.8930606842041016
000121,27.027377740208518,0.7720394801675315,0.026500511914491653,0.001982723828405142,0.051389455795288086,0.9486105442047119
000122,24.17214517341131,0.6739060025431456,0.038260675966739655,0.0038263569585978985,0.07765612006187439,0.9223438501358032
000123,24.964986802119263,0.7179775462817254,0.03491244465112686,0.0031878752633929253,0.06905745714902878,0.9309425354003906
000124,21.89363088322085,0.660311052531838,0.051379263401031494,0.006466018036007881,0.07593691349029541,0.9240630865097046
000125,24.26244056398211,0.7684505236750869,0.040737975388765335,0.0037476234138011932,0.059771742671728134,0.940228283405304
