Image,LPIPS
000398,0.8651694059371948
000399,0.9124361276626587
000400,0.07696371525526047
000401,0.39883092045783997
000402,0.4728221297264099
000403,0.39092156291007996
000404,0.354689359664917
000405,0.6979174613952637
000406,0.6923778057098389
000407,0.7254748344421387
000408,0.24898988008499146
000409,0.42776307463645935
000410,0.4312412440776825
000411,0.4403592050075531
000412,0.5758525133132935
000413,0.44692662358283997
000414,0.4838007688522339
000415,0.4792887568473816
000416,0.19390571117401123
000417,0.7646656632423401
000418,0.7588257193565369
000419,0.7435656785964966
000420,0.4183816611766815
000421,0.5526711344718933
000422,0.5201582908630371
000423,0.5012776851654053
000424,0.21836382150650024
000425,0.1693345606327057
000426,0.1875724047422409
000427,0.18473230302333832
000428,0.15668797492980957
000429,0.15838347375392914
000430,0.12644194066524506
000431,0.15287384390830994
000432,0.27468329668045044
000433,0.4255324602127075
000434,0.38285475969314575
000435,0.37561166286468506
000436,0.16047024726867676
000437,0.22758899629116058
000438,0.26970964670181274
000439,0.23362112045288086
000440,0.20982010662555695
000441,0.19710806012153625
000442,0.20509953796863556
000443,0.19304290413856506
000444,0.2026236653327942
000445,0.35206007957458496
000446,0.32968267798423767
000447,0.4041706621646881
000448,0.8552910089492798
000449,0.4119771420955658
000450,0.3665282428264618
000451,0.3709264397621155
000452,0.11540459096431732
000453,0.5350176095962524
000454,0.5361349582672119
000455,0.5415424108505249
000456,0.5080617666244507
000457,0.33149418234825134
000458,0.3490290641784668
000459,0.375576913356781
000460,0.2999231219291687
000461,0.12290171533823013
000462,0.16809451580047607
000463,0.1163337379693985
000464,0.30712947249412537
000465,0.7798683047294617
000466,0.7869182825088501
000467,0.7950858473777771
000468,0.4123710095882416
000469,0.34174513816833496
000470,0.3323579728603363
000471,0.33998754620552063
000472,0.08267194032669067
000473,0.1803811937570572
000474,0.15318825840950012
000475,0.10381275415420532
000476,0.11722725629806519
000477,0.8898513317108154
000478,0.869648814201355
000479,0.8726581335067749
000480,0.26212793588638306
000481,0.4266783893108368
000482,0.42015340924263
000483,0.3839535117149353
000484,0.40393906831741333
000485,0.4423065781593323
000486,0.347979336977005
000487,0.35937193036079407
