Image,PSNR,SSIM,MAE,MSE,Edge_Error,Edge_Preservation
000513,17.355934688559824,0.5866033730996032,0.09488765150308609,0.018382582813501358,0.1395459771156311,0.8604540228843689
000514,17.94726217724731,0.5775344876564072,0.0889340490102768,0.016042564064264297,0.1330270916223526,0.8669729232788086
000515,17.402034528434346,0.5588222950318638,0.09464841336011887,0.018188485875725746,0.1357308328151703,0.8642691373825073
000516,25.638296013898696,0.537188866985609,0.036912702023983,0.0027300487272441387,0.04710311070084572,0.9528968930244446
000517,25.094190969771187,0.5675965391254703,0.03805217891931534,0.003094431711360812,0.04621525853872299,0.9537847638130188
000518,25.167487414426905,0.5452884148102282,0.03810549154877663,0.0030426448211073875,0.048229578882455826,0.9517704248428345
000519,25.169996587022013,0.551160566176836,0.03779295086860657,0.003040887415409088,0.04690505936741829,0.9530949592590332
000520,23.55209358067031,0.6259846583943675,0.04484478756785393,0.004413576330989599,0.057948555797338486,0.9420514702796936
000521,31.827603069073636,0.7401129442822934,0.020033959299325943,0.0006565075018443167,0.1513773798942566,0.8486226201057434
000522,32.19087717228732,0.7510178238296509,0.019292980432510376,0.000603826658334583,0.13965071737766266,0.8603492975234985
000523,31.601345809784355,0.7433855040364266,0.02052656002342701,0.0006916166166774929,0.14257292449474335,0.8574270606040955
000524,20.73805036543984,0.7416983937057529,0.06201394274830818,0.008437134325504303,0.08434050530195236,0.915659487247467
000525,31.003465553523096,0.6576549897520542,0.022272802889347076,0.0007936946349218488,0.13256429135799408,0.8674356937408447
000526,30.657160197987444,0.636201397720933,0.023067669942975044,0.0008595754043199122,0.05489951744675636,0.9451004862785339
000527,30.843641561649456,0.64355062479949,0.022590328007936478,0.0008234473643824458,0.05605597794055939,0.9439440369606018
000528,32.982430997851516,0.8839292015347183,0.010101809166371822,0.0005032188491895795,0.013296990655362606,0.9867030382156372
000529,23.66147689671695,0.7997534831932895,0.03500015288591385,0.004303802270442247,0.04378655552864075,0.9562134742736816
000530,23.407174836777187,0.7669841393540864,0.037778809666633606,0.004563336726278067,0.047555241733789444,0.9524447321891785
000531,22.209093065470565,0.728592539145777,0.044255126267671585,0.006012992933392525,0.05276842415332794,0.9472315907478333
000532,25.054439417697246,0.828025467176311,0.031102944165468216,0.0031228854786604643,0.04740625619888306,0.9525937438011169
000533,23.77349365317711,0.6950938509534755,0.04550771787762642,0.004194214474409819,0.06953849643468857,0.9304615259170532
000534,23.687019780492633,0.7159833982377313,0.044996146112680435,0.004278563894331455,0.07154317945241928,0.9284568428993225
000535,23.97974571455243,0.7280207165864986,0.04333171993494034,0.003999681677669287,0.0689464807510376,0.9310535192489624
000536,34.97353125292176,0.9262880430483819,0.012978454120457172,0.0003181609499733895,0.038173310458660126,0.9618266820907593
000537,33.44266337346528,0.9019051973371506,0.016251569613814354,0.0004526199190877378,0.06388021260499954,0.936119794845581
000538,33.615761890245544,0.9096923823070526,0.015774503350257874,0.00043493445264175534,0.06562374532222748,0.9343762397766113
000539,34.39486679666932,0.9194392878289223,0.014719466678798199,0.00036350745358504355,0.06022264435887337,0.9397773742675781
000540,25.962364532534128,0.5649523329129544,0.038679927587509155,0.002533748745918274,0.07412678003311157,0.9258732199668884
000541,35.462839472037544,0.8448433400979042,0.01309277955442667,0.0002842601970769465,0.09622649848461151,0.9037734866142273
000542,34.48248383802418,0.8242611532433033,0.01436791755259037,0.0003562473284546286,0.11308830976486206,0.8869116902351379
000543,34.98229993940862,0.8397918968095779,0.013532090932130814,0.00031751921051181853,0.10670903325080872,0.8932909965515137
000544,31.454751785424143,0.9230408197030947,0.013619713485240936,0.0007153602782636881,0.012876882217824459,0.9871231317520142
000545,29.784591158385663,0.8955271464259327,0.01969161629676819,0.0010508503764867783,0.020462287589907646,0.9795377254486084
000546,29.495193430989282,0.8969129029721916,0.01967271789908409,0.0011232609394937754,0.019707832485437393,0.9802921414375305
000547,28.736362274520708,0.862123944013998,0.02374931238591671,0.0013377155410125852,0.027636166661977768,0.9723638296127319
000548,35.93939760409358,0.9368040202064961,0.01016860269010067,0.00025471835397183895,0.008501231670379639,0.9914987683296204
000549,32.087473247056565,0.9603773753495216,0.00985665712505579,0.0006183760706335306,0.013265710324048996,0.9867342710494995
000550,33.638065554886715,0.9617759098353386,0.008146770298480988,0.0004327065253164619,0.013372248038649559,0.9866277575492859
000551,31.76127098545294,0.9594301509971619,0.009870910085737705,0.0006666116532869637,0.013529029674828053,0.9864709973335266
000552,24.57133139129087,0.8344768727401339,0.02808827906847,0.00349033297970891,0.02936851605772972,0.97063148021698
000553,32.67104753220103,0.856635064419806,0.016871502622961998,0.0005406239069998264,0.019484074786305428,0.9805158972740173
000554,31.802550895334388,0.8529324378026687,0.018051117658615112,0.0006603054935112596,0.02503388002514839,0.9749661087989807
000555,31.894983957075645,0.8525090824577808,0.017972886562347412,0.0006464003818109632,0.02549213357269764,0.9745078682899475
000556,38.41086306828994,0.9444179652051926,0.008718809112906456,0.00014418287901207805,0.011657093651592731,0.9883428812026978
000557,36.88128782888875,0.9456876198454499,0.009866127744317055,0.00020505540305748582,0.013419214636087418,0.9865807890892029
000558,33.098980257934095,0.9209061136557459,0.013928730972111225,0.0004898938350379467,0.020455803722143173,0.9795442223548889
000559,36.361322694201434,0.9443638734602928,0.010602115653455257,0.0002311360731255263,0.013237664476037025,0.9867623448371887
000560,25.676082950591145,0.739355159691751,0.038310419768095016,0.002706398256123066,0.08495660871267319,0.9150434136390686
000561,22.68368308622232,0.5448987655816016,0.05069563910365105,0.005390532780438662,0.07264499366283417,0.9273549914360046
000562,22.68869067825139,0.5447343824635767,0.050601616501808167,0.005384320858865976,0.07128818333148956,0.9287118315696716
000563,22.950273870205958,0.5492352493081833,0.048655297607183456,0.005069587379693985,0.06764497607946396,0.9323550462722778
000564,31.867741084749465,0.8318555198637396,0.0169492419809103,0.0006504679331555963,0.021842509508132935,0.9781575202941895
000565,22.4185675351738,0.47207738091170365,0.05890699476003647,0.00572984991595149,0.11138307303190231,0.8886169195175171
000566,22.431707543660025,0.48095156699695063,0.058788277208805084,0.0057125398889184,0.10764952003955841,0.8923504948616028
000567,22.736847715724767,0.41977406588064103,0.05662815272808075,0.005324946250766516,0.11322532594203949,0.8867746591567993
000568,23.055118698585474,0.6815836647970155,0.05007431283593178,0.004948665853589773,0.06744036823511124,0.932559609413147
000569,25.143212339869333,0.7219496470656058,0.038736455142498016,0.00305969943292439,0.052041105926036835,0.9479588866233826
000570,25.324458158543173,0.7239034077071775,0.03822052478790283,0.002934635616838932,0.05257101729512215,0.9474290013313293
000571,25.211420612630707,0.7236693922923861,0.03824786841869354,0.003012020606547594,0.05169059708714485,0.9483094215393066
000572,24.555365812074346,0.7176907421008497,0.040650300681591034,0.003503187792375684,0.05558301880955696,0.9444169998168945
000573,31.602926927500867,0.9173470238099396,0.012457179836928844,0.0006913648685440421,0.01026658620685339,0.9897333979606628
